Id,Id_linea,Nombre,Descripcion,Imagen,Brochure,Vademecum,Video,Params_dist,Proteina,Grasa,Humedad,Fibra,Ceniza,Eln,Orden,Keyword,Target
56,40,Lechero 20%,Alimento para altas productoras con semilla de algodón que favorece la producción de leche.,Content/img/rumiantes/malta-lechero-premium.png,https://www.dropbox.com/s/qt38xu9vaax62w5/MANUAL%20GLECHE%2018.06.14.pdf?dl=28,,,,19        ,3         ,12        ,8         ,8         ,50        ,26,NULL,NULL
57,42,Becerras Ultra,Alimento preiniciador que favorce el rápido crecimiento del becerro. Recomendado a partir de la semana 3 hasta el destete,Content/img/rumiantes/malta-ababe-premium-40.png,https://www.dropbox.com/s/7zmtkagtlpj0b5b/MANUAL%20GCARNE%2012-06-14.pdf?dl=18,,,,18        ,3         ,12        ,10        ,7         ,50        ,41,NULL,NULL
58,42,Ababe Plus,Alimento de segunda etapa recomendado a partir del destete a los 6 meses de edad.,Content/img/rumiantes/malta-ababe-premium-40.png,https://www.dropbox.com/s/7zmtkagtlpj0b5b/MANUAL%20GCARNE%2012-06-14.pdf?dl=19,,,,20        ,2         ,12        ,8         ,8         ,50        ,42,NULL,NULL
59,42,Abahor Plus,"Alimento para vaquillas de reemplazo, gestantes y secas.",Content/img/rumiantes/malta-ababe-premium-40.png,https://www.dropbox.com/s/7zmtkagtlpj0b5b/MANUAL%20GCARNE%2012-06-14.pdf?dl=20,,,,14        ,2.5       ,12        ,11        ,8         ,52.5      ,43,NULL,NULL
60,53,Borregos Forte,Alimento para borregos en etapa de engorda y finalización.,Content/img/rumiantes/malta-ovinos-ganador-40.png,NA,,,,15        ,3         ,12        ,7         ,6         ,57        ,1,NULL,NULL
61,53,Borregas Reproductoras,"Alimento para borregas de cría: 30 días antes del empadre, durante el periodo de gestación y lactancia.",Content/img/rumiantes/malta-ovinos-ganador-40.png,NA,,,,16        ,3         ,12        ,9         ,10        ,50        ,2,NULL,NULL
62,53,Borrego Ganador®,"Alimento para borregos en el periodo de engorda y finalización, así como para borregas de cría. ",Content/img/rumiantes/malta-ovinos-ganador-40.png,NA,,,,13        ,2         ,12        ,8         ,10        ,55        ,4,NULL,NULL
63,53,Engorda Borregos,Alimento para borregos a partir del destete hasta su salida al mercado.,Content/img/rumiantes/malta-ovinos-ganador-40.png,NA,,,,15        ,3         ,12        ,8         ,7         ,55        ,3,NULL,NULL
64,54,Capri Leche 18%TEC,Alimento con grano rolado para cabras lecheras de alta producción.,Content/img/rumiantes/malta-caprinos-ganador-40.png,,,,,18        ,4         ,12        ,8         ,8         ,50        ,1,NULL,NULL
65,54,Capri Leche 18%,Alimento con grano rolado para cabras lecheras en producción.,Content/img/rumiantes/malta-caprinos-ganador-40.png,,,,,18        ,3         ,12        ,8         ,8         ,51        ,2,NULL,NULL
66,54,Capri Crecimiento,"Alimento balanceado para crecimiento, desarrollo y mantenimineto de cabras.",Content/img/rumiantes/malta-caprinos-ganador-40.png,,,,,16        ,2.5       ,12        ,10        ,9         ,50.5      ,3,NULL,NULL
67,54,Capri Inicio Ultra,Alimento balanceado para la etapa de iniciación de las cabras.,Content/img/rumiantes/malta-caprinos-ganador-40.png,,,,,18        ,4         ,12        ,4         ,9         ,53        ,4,NULL,NULL
